p_key,BaseCode,SectionBreakStartKM,SectionBreakFinishKM,RecordingDate
ARTC-14_314.78_20m_2023-10-08,ARTC-14,314.78,314.8,2023-10-08
ARTC-14_314.78_20m_2023-10-09,ARTC-14,314.78,314.8,2023-10-09
ARTC-11_171.6_20m_2023-07-05,ARTC-11,171.6,171.62,2023-07-05
ARTC-12_215.7_20m_2023-06-04,ARTC-12,215.7,215.72,2023-06-04
ARTC-11_178.02_20m_2023-08-22,ARTC-11,178.02,178.04,2023-08-22
ARTC-12_239.08_20m_2023-10-20,ARTC-12,239.08,239.1,2023-10-20
ARTC-14_314.78_20m_2023-10-10,ARTC-14,314.78,314.8,2023-10-10
ARTC-14_314.78_20m_2023-12-11,ARTC-14,314.78,314.8,2023-12-11
ARTC-11_178.02_20m_2023-10-03,ARTC-11,178.02,178.04,2023-10-03
ARTC-11_178.02_20m_2023-11-02,ARTC-11,178.02,178.04,2023-11-02
ARTC-14_314.78_20m_2023-10-21,ARTC-14,314.78,314.8,2023-10-21
ARTC-11_171.6_20m_2023-09-10,ARTC-11,171.6,171.62,2023-09-10
ARTC-11_178.52_20m_2023-05-07,ARTC-11,178.52,178.54,2023-05-07
ARTC-12_215.7_20m_2023-07-12,ARTC-12,215.7,215.72,2023-07-12
ARTC-12_239.08_20m_2023-07-31,ARTC-12,239.08,239.1,2023-07-31
ARTC-14_362.14_20m_2023-07-28,ARTC-14,362.14,362.16,2023-07-28
ARTC-14_362.14_20m_2023-09-03,ARTC-14,362.14,362.16,2023-09-03
ARTC-11_178.02_20m_2023-06-04,ARTC-11,178.02,178.04,2023-06-04
ARTC-11_171.6_20m_2023-08-24,ARTC-11,171.6,171.62,2023-08-24
ARTC-11_178.52_20m_2023-07-11,ARTC-11,178.52,178.54,2023-07-11
ARTC-14_314.78_20m_2023-12-13,ARTC-14,314.78,314.8,2023-12-13
ARTC-11_178.02_20m_2023-10-25,ARTC-11,178.02,178.04,2023-10-25
ARTC-14_362.14_20m_2023-10-07,ARTC-14,362.14,362.16,2023-10-07
ARTC-11_182.42_20m_2023-05-07,ARTC-11,182.42,182.44,2023-05-07
ARTC-16_420.06_20m_2023-06-13,ARTC-16,420.06,420.08,2023-06-13
ARTC-11_171.6_20m_2023-07-13,ARTC-11,171.6,171.62,2023-07-13
ARTC-11_178.52_20m_2023-08-16,ARTC-11,178.52,178.54,2023-08-16
ARTC-12_215.7_20m_2023-07-17,ARTC-12,215.7,215.72,2023-07-17
ARTC-11_171.6_20m_2023-06-22,ARTC-11,171.6,171.62,2023-06-22
ARTC-11_182.42_20m_2023-07-24,ARTC-11,182.42,182.44,2023-07-24
ARTC-11_171.6_20m_2023-07-28,ARTC-11,171.6,171.62,2023-07-28
ARTC-12_239.08_20m_2023-06-14,ARTC-12,239.08,239.1,2023-06-14
ARTC-14_362.14_20m_2023-08-14,ARTC-14,362.14,362.16,2023-08-14
ARTC-12_215.7_20m_2023-06-18,ARTC-12,215.7,215.72,2023-06-18
ARTC-14_362.14_20m_2023-09-01,ARTC-14,362.14,362.16,2023-09-01
ARTC-14_362.14_20m_2023-11-09,ARTC-14,362.14,362.16,2023-11-09
ARTC-14_314.78_20m_2023-07-01,ARTC-14,314.78,314.8,2023-07-01
ARTC-16_420.06_20m_2023-06-26,ARTC-16,420.06,420.08,2023-06-26
ARTC-11_171.6_20m_2023-08-21,ARTC-11,171.6,171.62,2023-08-21
ARTC-11_178.02_20m_2023-12-05,ARTC-11,178.02,178.04,2023-12-05
ARTC-11_183.04_20m_2023-08-26,ARTC-11,183.04,183.06,2023-08-26
ARTC-12_215.7_20m_2023-08-12,ARTC-12,215.7,215.72,2023-08-12
ARTC-11_182.42_20m_2023-06-15,ARTC-11,182.42,182.44,2023-06-15
ARTC-12_239.08_20m_2023-11-10,ARTC-12,239.08,239.1,2023-11-10
ARTC-12_239.08_20m_2023-11-13,ARTC-12,239.08,239.1,2023-11-13
ARTC-12_249.46_20m_2023-07-22,ARTC-12,249.46,249.48,2023-07-22
ARTC-11_171.6_20m_2023-09-24,ARTC-11,171.6,171.62,2023-09-24
ARTC-11_178.02_20m_2023-08-25,ARTC-11,178.02,178.04,2023-08-25
ARTC-11_182.42_20m_2023-08-20,ARTC-11,182.42,182.44,2023-08-20
ARTC-11_183.04_20m_2023-05-21,ARTC-11,183.04,183.06,2023-05-21
ARTC-12_239.08_20m_2023-09-22,ARTC-12,239.08,239.1,2023-09-22
ARTC-11_178.02_20m_2023-08-26,ARTC-11,178.02,178.04,2023-08-26
ARTC-11_178.02_20m_2023-09-10,ARTC-11,178.02,178.04,2023-09-10
ARTC-12_215.7_20m_2023-07-03,ARTC-12,215.7,215.72,2023-07-03
ARTC-12_239.08_20m_2023-07-27,ARTC-12,239.08,239.1,2023-07-27
ARTC-11_171.6_20m_2023-07-18,ARTC-11,171.6,171.62,2023-07-18
ARTC-12_215.7_20m_2023-06-06,ARTC-12,215.7,215.72,2023-06-06
ARTC-12_249.46_20m_2023-06-22,ARTC-12,249.46,249.48,2023-06-22
ARTC-11_171.6_20m_2023-06-20,ARTC-11,171.6,171.62,2023-06-20
ARTC-12_239.08_20m_2023-07-20,ARTC-12,239.08,239.1,2023-07-20
ARTC-11_183.04_20m_2023-09-03,ARTC-11,183.04,183.06,2023-09-03
ARTC-12_215.7_20m_2023-05-17,ARTC-12,215.7,215.72,2023-05-17
ARTC-14_362.14_20m_2023-09-13,ARTC-14,362.14,362.16,2023-09-13
ARTC-12_239.08_20m_2023-07-04,ARTC-12,239.08,239.1,2023-07-04
ARTC-11_171.6_20m_2023-06-17,ARTC-11,171.6,171.62,2023-06-17
ARTC-12_249.46_20m_2023-08-04,ARTC-12,249.46,249.48,2023-08-04
ARTC-14_362.14_20m_2023-10-25,ARTC-14,362.14,362.16,2023-10-25
ARTC-11_171.6_20m_2023-08-20,ARTC-11,171.6,171.62,2023-08-20
ARTC-12_215.7_20m_2023-05-03,ARTC-12,215.7,215.72,2023-05-03
ARTC-12_249.46_20m_2023-08-01,ARTC-12,249.46,249.48,2023-08-01
ARTC-11_183.04_20m_2023-06-29,ARTC-11,183.04,183.06,2023-06-29
ARTC-11_171.6_20m_2023-11-13,ARTC-11,171.6,171.62,2023-11-13
ARTC-11_178.02_20m_2023-09-14,ARTC-11,178.02,178.04,2023-09-14
ARTC-12_216.3_20m_2023-06-17,ARTC-12,216.3,216.32,2023-06-17
ARTC-12_239.08_20m_2023-07-05,ARTC-12,239.08,239.1,2023-07-05
ARTC-12_249.46_20m_2023-07-07,ARTC-12,249.46,249.48,2023-07-07
ARTC-12_215.7_20m_2023-06-09,ARTC-12,215.7,215.72,2023-06-09
ARTC-11_178.52_20m_2023-05-03,ARTC-11,178.52,178.54,2023-05-03
ARTC-11_183.04_20m_2023-09-09,ARTC-11,183.04,183.06,2023-09-09
ARTC-12_239.08_20m_2023-11-14,ARTC-12,239.08,239.1,2023-11-14
ARTC-14_314.78_20m_2023-11-28,ARTC-14,314.78,314.8,2023-11-28
ARTC-14_362.14_20m_2023-09-23,ARTC-14,362.14,362.16,2023-09-23
ARTC-16_420.06_20m_2023-08-10,ARTC-16,420.06,420.08,2023-08-10
ARTC-11_171.6_20m_2023-11-14,ARTC-11,171.6,171.62,2023-11-14
ARTC-11_178.02_20m_2023-05-11,ARTC-11,178.02,178.04,2023-05-11
ARTC-12_249.46_20m_2023-06-07,ARTC-12,249.46,249.48,2023-06-07
ARTC-14_362.14_20m_2023-06-25,ARTC-14,362.14,362.16,2023-06-25
ARTC-11_171.6_20m_2023-10-18,ARTC-11,171.6,171.62,2023-10-18
ARTC-11_178.02_20m_2023-12-17,ARTC-11,178.02,178.04,2023-12-17
ARTC-11_182.42_20m_2023-07-04,ARTC-11,182.42,182.44,2023-07-04
ARTC-14_314.78_20m_2023-10-15,ARTC-14,314.78,314.8,2023-10-15
ARTC-12_239.08_20m_2023-08-02,ARTC-12,239.08,239.1,2023-08-02
ARTC-14_314.78_20m_2023-12-04,ARTC-14,314.78,314.8,2023-12-04
ARTC-11_171.6_20m_2023-09-19,ARTC-11,171.6,171.62,2023-09-19
ARTC-11_171.6_20m_2023-07-21,ARTC-11,171.6,171.62,2023-07-21
ARTC-11_171.6_20m_2023-10-21,ARTC-11,171.6,171.62,2023-10-21
ARTC-11_178.02_20m_2023-05-01,ARTC-11,178.02,178.04,2023-05-01
ARTC-11_182.42_20m_2023-07-15,ARTC-11,182.42,182.44,2023-07-15
ARTC-11_178.52_20m_2023-07-13,ARTC-11,178.52,178.54,2023-07-13
ARTC-11_178.52_20m_2023-07-26,ARTC-11,178.52,178.54,2023-07-26
ARTC-11_182.42_20m_2023-05-04,ARTC-11,182.42,182.44,2023-05-04
ARTC-11_178.02_20m_2023-08-15,ARTC-11,178.02,178.04,2023-08-15
ARTC-11_178.02_20m_2023-11-20,ARTC-11,178.02,178.04,2023-11-20
ARTC-11_178.52_20m_2023-07-15,ARTC-11,178.52,178.54,2023-07-15
ARTC-12_216.3_20m_2023-06-07,ARTC-12,216.3,216.32,2023-06-07
ARTC-11_178.52_20m_2023-05-01,ARTC-11,178.52,178.54,2023-05-01
ARTC-12_239.08_20m_2023-07-23,ARTC-12,239.08,239.1,2023-07-23
ARTC-14_362.14_20m_2023-11-17,ARTC-14,362.14,362.16,2023-11-17
ARTC-12_215.7_20m_2023-06-26,ARTC-12,215.7,215.72,2023-06-26
ARTC-11_182.42_20m_2023-07-03,ARTC-11,182.42,182.44,2023-07-03
ARTC-12_215.7_20m_2023-08-03,ARTC-12,215.7,215.72,2023-08-03
ARTC-14_362.14_20m_2023-10-10,ARTC-14,362.14,362.16,2023-10-10
ARTC-16_420.06_20m_2023-06-08,ARTC-16,420.06,420.08,2023-06-08
ARTC-11_183.04_20m_2023-07-25,ARTC-11,183.04,183.06,2023-07-25
ARTC-11_171.6_20m_2023-07-12,ARTC-11,171.6,171.62,2023-07-12
ARTC-11_171.6_20m_2023-09-22,ARTC-11,171.6,171.62,2023-09-22
ARTC-14_362.14_20m_2023-09-28,ARTC-14,362.14,362.16,2023-09-28
ARTC-12_239.08_20m_2023-05-05,ARTC-12,239.08,239.1,2023-05-05
ARTC-11_171.6_20m_2023-11-08,ARTC-11,171.6,171.62,2023-11-08
ARTC-11_182.42_20m_2023-05-11,ARTC-11,182.42,182.44,2023-05-11
ARTC-11_171.6_20m_2023-10-02,ARTC-11,171.6,171.62,2023-10-02
ARTC-11_178.02_20m_2023-09-18,ARTC-11,178.02,178.04,2023-09-18
ARTC-11_183.04_20m_2023-06-28,ARTC-11,183.04,183.06,2023-06-28
ARTC-12_249.46_20m_2023-06-17,ARTC-12,249.46,249.48,2023-06-17
ARTC-11_183.04_20m_2023-05-18,ARTC-11,183.04,183.06,2023-05-18
ARTC-12_215.7_20m_2023-05-13,ARTC-12,215.7,215.72,2023-05-13
ARTC-14_362.14_20m_2023-10-27,ARTC-14,362.14,362.16,2023-10-27
ARTC-11_178.02_20m_2023-06-30,ARTC-11,178.02,178.04,2023-06-30
ARTC-11_178.02_20m_2023-11-30,ARTC-11,178.02,178.04,2023-11-30
ARTC-11_178.52_20m_2023-06-04,ARTC-11,178.52,178.54,2023-06-04
ARTC-11_171.6_20m_2023-07-31,ARTC-11,171.6,171.62,2023-07-31
ARTC-12_215.7_20m_2023-06-12,ARTC-12,215.7,215.72,2023-06-12
ARTC-14_362.14_20m_2023-07-16,ARTC-14,362.14,362.16,2023-07-16
ARTC-11_178.02_20m_2023-06-07,ARTC-11,178.02,178.04,2023-06-07
ARTC-11_178.02_20m_2023-10-18,ARTC-11,178.02,178.04,2023-10-18
ARTC-16_420.06_20m_2023-07-10,ARTC-16,420.06,420.08,2023-07-10
ARTC-11_183.04_20m_2023-06-06,ARTC-11,183.04,183.06,2023-06-06
ARTC-12_215.7_20m_2023-07-22,ARTC-12,215.7,215.72,2023-07-22
ARTC-11_183.04_20m_2023-09-11,ARTC-11,183.04,183.06,2023-09-11
ARTC-11_178.02_20m_2023-05-17,ARTC-11,178.02,178.04,2023-05-17
ARTC-11_183.04_20m_2023-05-19,ARTC-11,183.04,183.06,2023-05-19
ARTC-12_249.46_20m_2023-07-01,ARTC-12,249.46,249.48,2023-07-01
ARTC-11_171.6_20m_2023-06-03,ARTC-11,171.6,171.62,2023-06-03
ARTC-12_215.7_20m_2023-08-10,ARTC-12,215.7,215.72,2023-08-10
ARTC-11_178.52_20m_2023-05-20,ARTC-11,178.52,178.54,2023-05-20
ARTC-11_178.52_20m_2023-07-24,ARTC-11,178.52,178.54,2023-07-24
ARTC-11_178.02_20m_2023-08-02,ARTC-11,178.02,178.04,2023-08-02
ARTC-11_171.6_20m_2023-08-22,ARTC-11,171.6,171.62,2023-08-22
ARTC-11_178.02_20m_2023-09-03,ARTC-11,178.02,178.04,2023-09-03
ARTC-11_178.52_20m_2023-06-28,ARTC-11,178.52,178.54,2023-06-28
ARTC-11_182.42_20m_2023-08-24,ARTC-11,182.42,182.44,2023-08-24
ARTC-11_183.04_20m_2023-06-10,ARTC-11,183.04,183.06,2023-06-10
ARTC-12_249.46_20m_2023-07-21,ARTC-12,249.46,249.48,2023-07-21
ARTC-11_171.6_20m_2023-09-29,ARTC-11,171.6,171.62,2023-09-29
ARTC-12_215.7_20m_2023-08-27,ARTC-12,215.7,215.72,2023-08-27
ARTC-12_239.08_20m_2023-11-30,ARTC-12,239.08,239.1,2023-11-30
ARTC-11_178.52_20m_2023-08-08,ARTC-11,178.52,178.54,2023-08-08
ARTC-11_182.42_20m_2023-07-14,ARTC-11,182.42,182.44,2023-07-14
ARTC-12_215.7_20m_2023-06-07,ARTC-12,215.7,215.72,2023-06-07
ARTC-12_215.7_20m_2023-06-10,ARTC-12,215.7,215.72,2023-06-10
ARTC-16_420.06_20m_2023-07-15,ARTC-16,420.06,420.08,2023-07-15
ARTC-11_178.52_20m_2023-07-07,ARTC-11,178.52,178.54,2023-07-07
ARTC-14_314.78_20m_2023-08-17,ARTC-14,314.78,314.8,2023-08-17
ARTC-14_314.78_20m_2023-09-16,ARTC-14,314.78,314.8,2023-09-16
ARTC-14_362.14_20m_2023-11-04,ARTC-14,362.14,362.16,2023-11-04
ARTC-11_171.6_20m_2023-11-07,ARTC-11,171.6,171.62,2023-11-07
ARTC-14_314.78_20m_2023-07-03,ARTC-14,314.78,314.8,2023-07-03
ARTC-12_249.46_20m_2023-06-04,ARTC-12,249.46,249.48,2023-06-04
ARTC-14_314.78_20m_2023-12-14,ARTC-14,314.78,314.8,2023-12-14
ARTC-11_183.04_20m_2023-08-25,ARTC-11,183.04,183.06,2023-08-25
ARTC-11_178.02_20m_2023-09-23,ARTC-11,178.02,178.04,2023-09-23
ARTC-11_171.6_20m_2023-10-30,ARTC-11,171.6,171.62,2023-10-30
ARTC-11_183.04_20m_2023-08-31,ARTC-11,183.04,183.06,2023-08-31
ARTC-11_171.6_20m_2023-10-22,ARTC-11,171.6,171.62,2023-10-22
ARTC-11_178.02_20m_2023-07-29,ARTC-11,178.02,178.04,2023-07-29
ARTC-12_239.08_20m_2023-06-09,ARTC-12,239.08,239.1,2023-06-09
ARTC-12_239.08_20m_2023-06-15,ARTC-12,239.08,239.1,2023-06-15
ARTC-12_239.08_20m_2023-12-09,ARTC-12,239.08,239.1,2023-12-09
ARTC-11_171.6_20m_2023-10-28,ARTC-11,171.6,171.62,2023-10-28
ARTC-11_178.02_20m_2023-07-07,ARTC-11,178.02,178.04,2023-07-07
ARTC-12_239.08_20m_2023-06-03,ARTC-12,239.08,239.1,2023-06-03
ARTC-11_171.6_20m_2023-11-20,ARTC-11,171.6,171.62,2023-11-20
ARTC-11_178.02_20m_2023-12-23,ARTC-11,178.02,178.04,2023-12-23
ARTC-11_178.02_20m_2023-05-13,ARTC-11,178.02,178.04,2023-05-13
ARTC-11_183.04_20m_2023-05-22,ARTC-11,183.04,183.06,2023-05-22
ARTC-12_239.08_20m_2023-11-01,ARTC-12,239.08,239.1,2023-11-01
ARTC-11_171.6_20m_2023-06-07,ARTC-11,171.6,171.62,2023-06-07
ARTC-12_239.08_20m_2023-10-08,ARTC-12,239.08,239.1,2023-10-08
ARTC-14_314.78_20m_2023-12-03,ARTC-14,314.78,314.8,2023-12-03
ARTC-11_178.52_20m_2023-05-08,ARTC-11,178.52,178.54,2023-05-08
ARTC-11_178.52_20m_2023-05-11,ARTC-11,178.52,178.54,2023-05-11
ARTC-12_239.08_20m_2023-12-04,ARTC-12,239.08,239.1,2023-12-04
ARTC-14_362.14_20m_2023-10-03,ARTC-14,362.14,362.16,2023-10-03
ARTC-11_178.52_20m_2023-06-09,ARTC-11,178.52,178.54,2023-06-09
ARTC-14_362.14_20m_2023-07-29,ARTC-14,362.14,362.16,2023-07-29
ARTC-11_171.6_20m_2023-06-24,ARTC-11,171.6,171.62,2023-06-24
ARTC-11_171.6_20m_2023-05-07,ARTC-11,171.6,171.62,2023-05-07
ARTC-12_239.08_20m_2023-06-26,ARTC-12,239.08,239.1,2023-06-26
ARTC-11_178.02_20m_2023-08-04,ARTC-11,178.02,178.04,2023-08-04
ARTC-11_182.42_20m_2023-06-27,ARTC-11,182.42,182.44,2023-06-27
ARTC-12_239.08_20m_2023-09-19,ARTC-12,239.08,239.1,2023-09-19
ARTC-12_239.08_20m_2023-10-22,ARTC-12,239.08,239.1,2023-10-22
ARTC-11_178.52_20m_2023-07-17,ARTC-11,178.52,178.54,2023-07-17
ARTC-16_420.06_20m_2023-05-12,ARTC-16,420.06,420.08,2023-05-12
ARTC-11_171.6_20m_2023-07-06,ARTC-11,171.6,171.62,2023-07-06
ARTC-12_239.08_20m_2023-08-03,ARTC-12,239.08,239.1,2023-08-03
ARTC-11_183.04_20m_2023-08-20,ARTC-11,183.04,183.06,2023-08-20
ARTC-14_314.78_20m_2023-08-23,ARTC-14,314.78,314.8,2023-08-23
ARTC-12_249.46_20m_2023-07-11,ARTC-12,249.46,249.48,2023-07-11
ARTC-12_215.7_20m_2023-07-27,ARTC-12,215.7,215.72,2023-07-27
ARTC-12_239.08_20m_2023-08-01,ARTC-12,239.08,239.1,2023-08-01
ARTC-14_314.78_20m_2023-09-05,ARTC-14,314.78,314.8,2023-09-05
ARTC-11_178.02_20m_2023-06-29,ARTC-11,178.02,178.04,2023-06-29
ARTC-12_249.46_20m_2023-06-28,ARTC-12,249.46,249.48,2023-06-28
ARTC-10_234.44_20m_2023-08-13,ARTC-10,234.44,234.46,2023-08-13
ARTC-14_362.14_20m_2023-09-24,ARTC-14,362.14,362.16,2023-09-24
ARTC-16_420.06_20m_2023-07-07,ARTC-16,420.06,420.08,2023-07-07
ARTC-11_178.02_20m_2023-06-21,ARTC-11,178.02,178.04,2023-06-21
ARTC-12_215.7_20m_2023-08-04,ARTC-12,215.7,215.72,2023-08-04
ARTC-14_362.14_20m_2023-06-22,ARTC-14,362.14,362.16,2023-06-22
ARTC-11_178.02_20m_2023-07-04,ARTC-11,178.02,178.04,2023-07-04
ARTC-11_182.42_20m_2023-08-11,ARTC-11,182.42,182.44,2023-08-11
